,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,season,type
25,Brooklyn Nets,6,1,5,0.167,35,52,19,67,28.4,6,30,20,8,10,80,13,21,34,7,12,2,2,11,26,10,-25,2017-18,OT
26,Atlanta Hawks,1,0,1,0,5,10,4,9,44.4,2,5,40,0,0,0,1,3,4,2,2,0,0,0,4,2,-4,2017-18,OT
26,Dallas Mavericks,5,0,5,0,25,36,12,43,27.9,2,20,10,10,14,71.4,5,12,17,5,7,3,3,2,18,13,-29,2017-18,OT
26,LA Clippers,1,0,1,0,5,8,4,12,33.3,0,5,0,0,0,0,2,4,6,1,1,0,1,1,3,3,-5,2017-18,OT
26,Memphis Grizzlies,1,0,1,0,5,9,4,7,57.1,1,2,50,0,2,0,0,3,3,2,1,0,0,1,1,2,-1,2017-18,OT
26,Phoenix Suns,1,0,1,0,5,2,1,7,14.3,0,0,0,0,0,0,1,4,5,0,4,0,0,1,3,4,-6,2017-18,OT
1,Boston Celtics,4,4,0,1,20,62,21,35,60,7,10,70,13,14,92.9,5,17,22,11,2,2,2,1,6,11,26,2018-19,OT
1,Denver Nuggets,2,2,0,1,10,22,7,16,43.8,3,5,60,5,7,71.4,2,10,12,5,2,0,2,1,5,6,7,2018-19,OT
1,Indiana Pacers,1,1,0,1,5,14,5,7,71.4,3,4,75,1,2,50,0,2,2,2,1,0,0,0,1,3,3,2018-19,OT
4,LA Clippers,6,5,1,0.833,30,75,24,44,54.5,2,11,18.2,25,28,89.3,2,21,23,10,4,8,4,5,9,21,19,2018-19,OT
5,Atlanta Hawks,4,3,1,0.75,35,75,26,61,42.6,9,25,36,14,24,58.3,7,30,37,13,9,2,2,2,20,21,5,2018-19,OT
5,San Antonio Spurs,4,3,1,0.75,25,60,20,43,46.5,5,14,35.7,15,19,78.9,3,21,24,10,3,5,3,3,16,10,4,2018-19,OT
7,Brooklyn Nets,7,5,2,0.714,60,129,45,102,44.1,15,35,42.9,24,28,85.7,10,48,58,20,16,4,10,8,34,29,6,2018-19,OT
7,Detroit Pistons,7,5,2,0.714,35,84,25,54,46.3,7,21,33.3,27,34,79.4,4,26,30,12,4,4,3,6,13,26,16,2018-19,OT
9,New York Knicks,3,2,1,0.667,20,38,15,29,51.7,6,13,46.2,2,6,33.3,2,15,17,10,11,2,2,2,10,5,3,2018-19,OT
9,Portland Trail Blazers,6,4,2,0.667,35,81,26,75,34.7,5,27,18.5,24,29,82.8,13,29,42,13,7,5,4,4,19,23,4,2018-19,OT
11,Chicago Bulls,5,3,2,0.6,45,91,32,70,45.7,9,25,36,18,27,66.7,8,32,40,15,16,8,4,4,22,23,10,2018-19,OT
12,Toronto Raptors,7,4,3,0.571,40,78,25,63,39.7,7,23,30.4,21,25,84,9,22,31,15,7,5,8,3,26,24,9,2018-19,OT
13,Los Angeles Lakers,4,2,2,0.5,20,55,21,40,52.5,3,13,23.1,10,13,76.9,4,19,23,12,5,1,7,2,15,12,8,2018-19,OT
13,Miami Heat,2,1,1,0.5,10,21,7,21,33.3,3,11,27.3,4,4,100,4,6,10,3,1,1,1,1,4,3,-3,2018-19,OT
13,Minnesota Timberwolves,6,3,3,0.5,30,54,19,61,31.1,4,26,15.4,12,21,57.1,13,21,34,8,8,5,1,0,19,18,-9,2018-19,OT
13,Phoenix Suns,6,3,3,0.5,40,90,35,69,50.7,8,22,36.4,12,16,75,10,22,32,18,13,4,8,3,27,15,-3,2018-19,OT
17,Memphis Grizzlies,7,3,4,0.429,40,78,28,70,40,6,27,22.2,16,22,72.7,9,29,38,9,5,4,3,5,20,24,0,2018-19,OT
17,Washington Wizards,7,3,4,0.429,50,106,37,90,41.1,8,32,25,24,35,68.6,18,25,43,22,14,6,1,7,30,33,-10,2018-19,OT
19,Oklahoma City Thunder,5,2,3,0.4,35,62,21,71,29.6,6,29,20.7,14,20,70,16,17,33,11,8,4,5,8,19,15,-17,2018-19,OT
19,Philadelphia 76ers,5,2,3,0.4,25,48,16,38,42.1,4,19,21.1,12,17,70.6,3,22,25,8,11,0,5,0,13,16,-10,2018-19,OT
21,Houston Rockets,6,2,4,0.333,30,74,21,47,44.7,14,33,42.4,18,24,75,8,13,21,9,8,1,3,3,23,15,-8,2018-19,OT
21,New Orleans Pelicans,3,1,2,0.333,15,42,13,28,46.4,4,10,40,12,18,66.7,6,12,18,6,5,0,2,5,10,14,-5,2018-19,OT
23,Dallas Mavericks,4,1,3,0.25,20,49,19,46,41.3,3,23,13,8,10,80,8,13,21,10,4,1,2,2,14,9,-10,2018-19,OT
23,Milwaukee Bucks,4,1,3,0.25,20,45,15,38,39.5,6,17,35.3,9,12,75,7,16,23,11,6,2,5,2,10,10,-4,2018-19,OT
23,Orlando Magic,4,1,3,0.25,20,27,9,39,23.1,2,20,10,7,7,100,4,13,17,6,1,3,3,4,10,10,-9,2018-19,OT
26,Charlotte Hornets,5,1,4,0.2,30,70,25,63,39.7,10,28,35.7,10,13,76.9,8,19,27,13,1,5,0,6,13,15,1,2018-19,OT
27,Cleveland Cavaliers,1,0,1,0,15,30,10,29,34.5,6,13,46.2,4,4,100,4,8,12,6,3,1,3,5,12,6,-9,2018-19,OT
27,Golden State Warriors,5,0,5,0,25,56,21,47,44.7,8,19,42.1,6,6,100,6,16,22,13,9,3,1,0,14,13,-11,2018-19,OT
27,Sacramento Kings,2,0,2,0,10,19,6,23,26.1,3,10,30,4,5,80,2,11,13,3,2,0,0,3,8,6,-6,2018-19,OT
27,Utah Jazz,2,0,2,0,15,29,10,30,33.3,2,10,20,7,8,87.5,7,10,17,3,5,3,4,3,2,8,-7,2018-19,OT
