TEAM,GP,W,L,MIN,%FGA_2PT,%FGA_3PT,%PTS_2PT,%PTS_2PT_MR,%PTS_3PT,%PTS_FBPS,%PTS_FT,%PTS_OFFTO,%PTS_PITP,2FGM_%AST,2FGM_%UAST,3FGM_%AST,3FGM_%UAST,FGM_%AST,FGM_%UAST,season,type
Sacramento Kings,49,24,25,3.3,67.7,32.3,47.6,8.6,24.9,12.3,27.5,18.2,39,42.7,57.3,87.1,12.9,54.2,45.8,2018-2019,clutch
New Orleans Pelicans,45,17,28,3.2,64.3,35.7,53.9,8,21.4,4.3,24.8,17,45.8,41.4,58.6,78.3,21.7,49.1,50.9,2018-2019,clutch
Chicago Bulls,39,15,24,4.2,66.9,33.1,49.1,8,30.4,6.1,20.6,13.8,41.1,36.3,63.8,60.6,39.4,43.4,56.6,2018-2019,clutch
Dallas Mavericks,46,20,26,3.7,55,45,45.7,7.4,28.7,7.4,25.5,12.5,38.3,31.4,68.6,63.9,36.1,41,59,2018-2019,clutch
Oklahoma City Thunder,46,22,24,3.8,55.2,44.8,40.6,7.3,27.9,8.3,31.5,15.4,33.3,42.2,57.8,68.4,31.6,50.4,49.6,2018-2019,clutch
Detroit Pistons,42,20,22,4.1,65.8,34.2,44.8,6.5,29.9,4.5,25.4,10.7,38.3,34.4,65.6,65,35,43.8,56.2,2018-2019,clutch
Denver Nuggets,46,31,15,3.3,68.8,31.2,52.7,6.2,23.5,4.5,23.8,15.7,46.5,53.2,46.8,85.7,14.3,60.7,39.3,2018-2019,clutch
Brooklyn Nets,44,24,20,4.2,60.1,39.9,43,6,34.6,3.7,22.4,12.5,37,39.8,60.2,66,34,49,51,2018-2019,clutch
Washington Wizards,39,15,24,4.6,59.8,40.2,49.8,5.8,26.8,9.9,23.4,12.8,44,52.4,47.6,89.2,10.8,62.1,37.9,2018-2019,clutch
Los Angeles Lakers,43,21,22,3.3,59.5,40.5,48,4.5,25.1,14.5,26.8,13.1,43.6,47.7,52.3,70,30,53.4,46.6,2018-2019,clutch
Atlanta Hawks,41,20,21,4,61.7,38.3,49.9,3.7,26.8,6,23.4,13.1,46.2,47.4,52.6,67.6,32.4,52.7,47.3,2018-2019,clutch
Houston Rockets,41,24,17,3.6,43,57,32.3,3.5,32.6,7.3,35.2,9.4,28.7,32.7,67.3,54.1,45.9,41.3,58.7,2018-2019,clutch
Utah Jazz,33,15,18,3.3,62.6,37.4,47.4,2.9,21.9,10.6,30.7,12,44.5,36.9,63.1,65,35,43.5,56.5,2018-2019,clutch
Milwaukee Bucks,36,22,14,3.8,61.2,38.8,48.7,1.8,29.9,10.3,21.4,17,46.9,48.2,51.8,67.6,32.4,53.8,46.2,2018-2019,clutch
Washington Wizards,46,21,25,5.3,71.5,28.5,54.1,16.2,20.3,16.2,25.5,13.5,38,38.7,61.3,87.1,12.9,48.4,51.6,2013-2014,clutch
Utah Jazz,40,19,21,3.7,71.9,28.1,49.1,15.6,22.5,8.4,28.4,9,33.5,46.3,53.7,72,28,52.3,47.7,2013-2014,clutch
Toronto Raptors,54,28,26,3.9,73.4,26.6,53.8,13.6,18.3,7.7,27.8,13.6,40.3,36.1,63.9,66.7,33.3,41.8,58.2,2013-2014,clutch
San Antonio Spurs,30,22,8,3.8,70.7,29.3,48.8,11.1,28.2,9.8,23,16.7,37.6,52.9,47.1,92.6,7.4,63.9,36.1,2013-2014,clutch
Sacramento Kings,42,15,27,3.9,74,26,50.6,16.5,17.6,7.1,31.8,15.9,34.1,41.9,58.1,60,40,45.3,54.7,2013-2014,clutch
Portland Trail Blazers,47,30,17,4.2,64.1,35.9,36.8,12.4,27.9,8.5,35.4,14.1,24.4,37.9,62.1,77.1,22.9,51,49,2013-2014,clutch
Phoenix Suns,50,26,24,3.6,68.3,31.7,53,11.9,17.8,12.7,29.2,14.3,41.1,35.7,64.3,77.3,22.7,43.3,56.7,2013-2014,clutch
Philadelphia 76ers,34,14,20,4,75.7,24.3,53,9.9,19.9,10.3,27.2,18.5,43,48.8,51.3,100,0,59,41,2013-2014,clutch
Orlando Magic,42,14,28,4.4,73.6,26.4,53.1,17.3,16.1,8.7,30.7,11.6,35.8,52.8,47.2,66.7,33.3,55.1,44.9,2013-2014,clutch
Oklahoma City Thunder,43,25,18,3.9,60.1,39.9,38.7,11.8,31.5,9.4,29.8,14.5,26.9,44.4,55.6,43.6,56.4,44.1,55.9,2013-2014,clutch
New York Knicks,39,17,22,4.4,62.3,37.7,41.5,14.6,29.3,3.4,29.3,25.3,26.8,39.7,60.3,90.6,9.4,56,44,2013-2014,clutch
New Orleans Pelicans,50,25,25,4.1,74.4,25.6,51.9,15.8,23,7.9,25.1,12.4,36.1,38.3,61.7,73.5,26.5,46.3,53.7,2013-2014,clutch
Minnesota Timberwolves,41,16,25,3.9,69.3,30.7,45.1,9.2,19.1,12.1,35.8,15,35.8,64.1,35.9,81.8,18.2,68,32,2013-2014,clutch
Milwaukee Bucks,40,10,30,4.3,74.6,25.4,43.3,15.7,20.7,8.2,36.1,14.4,27.5,47,53,61.9,38.1,50.6,49.4,2013-2014,clutch
Miami Heat,43,24,19,4.4,62.3,37.7,44.5,14.3,26.9,7.4,28.6,9.7,30.2,31,69,80,20,45.1,54.9,2013-2014,clutch
Memphis Grizzlies,49,33,16,3.4,76.3,23.7,50.8,13.8,17.5,9.5,31.7,15.3,37,42.7,57.3,77.3,22.7,49.2,50.8,2013-2014,clutch
Los Angeles Lakers,38,16,22,3,64.2,35.8,43.3,11.8,24.8,8.7,31.9,11.4,31.5,43.6,56.4,85.7,14.3,55.3,44.7,2013-2014,clutch
Los Angeles Clippers,43,27,16,3.5,72,28,47,12.7,19.8,9.2,33.2,13.5,34.3,41.6,58.4,80,20,50,50,2013-2014,clutch
Indiana Pacers,37,26,11,3.8,72.2,27.8,47.3,18,20.7,6.6,32,9.3,29.3,48.1,51.9,73.9,26.1,53.9,46.1,2013-2014,clutch
Houston Rockets,42,24,18,3.9,66,34,40,10.6,25.1,14.7,34.9,11.1,29.4,35.4,64.6,84.8,15.2,50,50,2013-2014,clutch
Golden State Warriors,43,24,19,4.7,64.5,35.5,48.7,15.6,28.4,8.3,22.9,15.4,33.1,39.8,60.2,82.5,17.5,51.7,48.3,2013-2014,clutch
