player,height_1,height_2,weight
Maxi Kleber,6,10,240
Kevin Knox II,6,7,215
John Konchar,6,5,210
Furkan Korkmaz,6,7,202
Luke Kornet,7,2,250
Kyle Korver,6,7,212
Vit Krejci,6,8,195
Rodions Kurucs,6,9,228
Kyle Kuzma,6,8,221
Zach LaVine,6,6,200
Jeremy Lamb,6,5,180
Romeo Langford,6,4,216
Vic Law,6,7,201
Jake Layman,6,8,209
Caris LeVert,6,6,205
TJ Leaf,6,10,222
Jalen Lecque,6,4,185
Courtney Lee,6,5,215
Damion Lee,6,5,210
Saben Lee,6,2,183
Alex Len,7,0,250
Kawhi Leonard,6,7,225
Meyers Leonard,7,0,260
Kira Lewis Jr.,6,3,170
Damian Lillard,6,2,195
Nassir Little,6,5,220
Kevon Looney,6,9,222
Brook Lopez,7,0,282
Robin Lopez,7,0,281
Kevin Love,6,8,251
Kyle Lowry,6,0,196
Timothe Luwawu-Cabarrot,6,7,220
Trey Lyles,6,9,234
Yam Madar,6,3,180
Ian Mahinmi,6,11,262
Theo Maledon,6,5,175
Terance Mann,6,5,215
Nico Mannion,6,3,190
Boban Marjanovic,7,4,290
Lauri Markkanen,7,0,240
Caleb Martin,6,5,205
Cody Martin,6,5,205
Jeremiah Martin,6,2,185
Kelan Martin,6,5,230
Kenyon Martin Jr.,6,6,215
Frank Mason,5,11,190
Garrison Mathews,6,5,215
Wesley Matthews,6,4,220
Tyrese Maxey,6,3,200
Skylar Mays,6,4,205
Patrick McCaw,6,7,181
CJ McCollum,6,3,190
T.J. McConnell,6,1,190
Jaden McDaniels,6,10,185
Jalen McDaniels,6,10,205
Doug McDermott,6,7,225
JaVale McGee,7,0,270
Rodney McGruder,6,4,205
Alfonzo McKinnie,6,7,215
Jordan McLaughlin,5,11,185
Ben McLemore,6,3,195
Nicolo Melli,6,9,236
De'Anthony Melton,6,2,200
Sam Merrill,6,5,205
Khris Middleton,6,7,222
Darius Miller,6,6,225
Malcolm Miller,6,7,210
Patty Mills,6,1,180
Paul Millsap,6,7,257
Shake Milton,6,5,205
Donovan Mitchell,6,1,215
Naz Mitrou-Long,6,3,218
Adam Mokoka,6,5,190
Malik Monk,6,3,200
Matt Mooney,6,2,199
E'Twaun Moore,6,3,191
Ja Morant,6,3,174
Juwan Morgan,6,7,232
Markieff Morris,6,8,245
Monte Morris,6,2,183
Marcus Morris Sr.,6,8,218
Johnathan Motley,6,8,230
Emmanuel Mudiay,6,3,200
Mychal Mulder,6,3,184
Dejounte Murray,6,4,180
Jamal Murray,6,4,215
Dzanan Musa,6,9,217
Mike Muscala,6,10,240
Svi Mykhailiuk,6,7,205
Abdel Nader,6,5,225
Larry Nance Jr.,6,7,245
Shabazz Napier,6,0,175
Aaron Nesmith,6,6,215
Raul Neto,6,1,180
Georges Niang,6,7,230
Zeke Nnaji,6,11,240
Joakim Noah,6,11,232
Nerlens Noel,6,10,220
Jaylen Nowell,6,4,201
Frank Ntilikina,6,4,200
Kendrick Nunn,6,2,190
Jusuf Nurkic,7,0,290
David Nwaba,6,5,219
Jordan Nwora,6,8,225
Royce O'Neale,6,4,226
Kyle O'Quinn,6,9,250
Semi Ojeleye,6,6,240
Jahlil Okafor,6,10,270
Chuma Okeke,6,8,229
Josh Okogie,6,4,213
Onyeka Okongwu,6,9,235
Isaac Okoro,6,6,225
KZ Okpala,6,8,215
Victor Oladipo,6,4,213
Kelly Olynyk,6,11,240
Miye Oni,6,5,206
Cedi Osman,6,7,230
Daniel Oturu,6,10,240
Kelly Oubre Jr.,6,7,203
Tariq Owens,6,10,205
Jabari Parker,6,8,245
Eric Paschall,6,6,255
Anzejs Pasecniks,7,2,229
Patrick Patterson,6,8,235
Chris Paul,6,1,175
Cameron Payne,6,1,183
Gary Payton II,6,3,195
Reggie Perry,6,9,250
Theo Pinson,6,5,212
Mason Plumlee,6,11,254
Jakob Poeltl,7,1,245
Vincent Poirier,7,0,235
Aleksej Pokusevski,7,0,190
Jordan Poole,6,4,194
Jontay Porter,6,11,240
Kevin Porter Jr.,6,4,203
Michael Porter Jr.,6,10,218
Otto Porter Jr.,6,8,198
Bobby Portis,6,10,250
Kristaps Porzingis,7,3,240
Dwight Powell,6,10,240
Norman Powell,6,3,215
Taurean Prince,6,7,218
Payton Pritchard,6,2,195
Immanuel Quickley,6,3,190
Jahmi'us Ramsey,6,4,190
Julius Randle,6,8,250
Josh Reaves,6,4,214
Cam Reddish,6,8,218
JJ Redick,6,3,200
Paul Reed,6,9,210
Naz Reid,6,9,264
Nick Richards,6,11,245
Josh Richardson,6,5,200
Grant Riller,6,3,190
Austin Rivers,6,3,200
Andre Roberson,6,7,210
Duncan Robinson,6,7,215
Jerome Robinson,6,4,190
Mitchell Robinson,7,0,240
Glenn Robinson III,6,6,222
Isaiah Roby,6,8,230
Rajon Rondo,6,1,180
Derrick Rose,6,2,200
Terrence Ross,6,6,206
Terry Rozier,6,1,190
Ricky Rubio,6,3,190
D'Angelo Russell,6,4,193
Domantas Sabonis,6,11,240
Luka Samanic,6,10,227
JaKarr Sampson,6,7,214
Dario Saric,6,10,225
Tomas Satoransky,6,7,210
Admiral Schofield,6,5,241
Dennis Schroder,6,1,172
Mike Scott,6,7,237
Jay Scrubb,6,6,220
Thabo Sefolosha,6,6,215
Collin Sexton,6,1,190
Landry Shamet,6,4,190
Pascal Siakam,6,9,230
Chris Silva,6,8,234
Ben Simmons,6,10,240
Marko Simonovic,6,11,220
Anfernee Simons,6,3,181
Alen Smailagic,6,10,215
Marcus Smart,6,3,220
Ish Smith,6,0,175
Jalen Smith,6,10,215
Zhaire Smith,6,3,205
Dennis Smith Jr.,6,2,205
Tony Snell,6,6,213
Ray Spalding,6,9,225
Omari Spellman,6,8,245
Cassius Stanley,6,5,190
Isaiah Stewart,6,9,250
Max Strus,6,5,215
Edmond Sumner,6,4,196
Caleb Swanigan,6,9,260
Jayson Tatum,6,8,210
Garrett Temple,6,5,195
Tyrell Terry,6,3,160
Daniel Theis,6,8,245
Matt Thomas,6,4,190
Klay Thompson,6,6,215
Matisse Thybulle,6,5,201
Xavier Tillman,6,8,245
Anthony Tolliver,6,8,240
Obi Toppin,6,9,220
Juan Toscano-Anderson,6,6,209
Karl-Anthony Towns,6,11,248
Gary Trent Jr.,6,5,209
P.J. Tucker,6,5,245
Rayjon Tucker,6,3,209
Evan Turner,6,6,220
Myles Turner,6,11,250
Jonas Valanciunas,6,11,265
Denzel Valentine,6,4,220
Fred VanVleet,6,1,197
Jarred Vanderbilt,6,9,214
Devin Vassell,6,7,200
Gabe Vincent,6,3,200
Noah Vonleh,6,10,257
Nikola Vucevic,6,11,260
Dean Wade,6,9,228
Moritz Wagner,6,11,245
Dion Waiters,6,3,210
Kemba Walker,6,0,184
Lonnie Walker IV,6,5,204
John Wall,6,4,210
Brad Wanamaker,6,3,210
T.J. Warren,6,8,220
P.J. Washington,6,7,230
Yuta Watanabe,6,8,215
Tremont Waters,5,10,175
Paul Watson,6,6,210
Quinndary Weatherspoon,6,3,205
Russell Westbrook,6,3,200
Coby White,6,4,195
Derrick White,6,4,190
Hassan Whiteside,7,0,265
Greg Whittington,6,9,210
Andrew Wiggins,6,7,197
Grant Williams,6,6,236
Johnathan Williams,6,9,228
Kenrich Williams,6,6,210
Lou Williams,6,1,175
Marvin Williams,6,8,237
Patrick Williams,6,8,215
Robert Williams III,6,8,237
Nigel Williams-Goss,6,2,190
Zion Williamson,6,6,284
D.J. Wilson,6,10,231
Dylan Windler,6,6,196
Justise Winslow,6,6,222
Cassius Winston,6,1,185
James Wiseman,7,1,240
Christian Wood,6,10,214
Robert Woodard II,6,7,235
Kenny Wooten,6,8,235
Delon Wright,6,5,185
Justin Wright-Foreman,6,0,190
Thaddeus Young,6,8,235
Trae Young,6,1,180
Cody Zeller,7,0,240
Tyler Zeller,6,11,250
Ante Zizic,6,10,266
Ivica Zubac,7,0,240
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
